»ùÒò,±àºÅ,z
BLOC1S3,1299,5.95
ZBTB7B,14942,5.73
NLGN2,8808,5.55
AP4E1,658,5.50
MGAT1,7920,5.46
THOC7,13399,5.36
TFE3,13341,5.33347
PCNX3,9520,5.330005
R3HDM2,10687,5.291744
SCAF1,11607,5.231543
S100A8,11536,5.216427
TTC13,14139,5.10339
SLC25A17,12096,5.00724
PACS1,9335,4.984418
RGS9,11076,4.923025
ASB16,901,4.916145
ST3GAL2,12805,4.911435
RELT,10994,4.907322
CTSD,3010,4.881938
CYP2B6,3105,4.849238
GSTK1,5357,4.785343
FITM2,4595,4.770866
TNFSF4,13793,4.754229
TCEANC,13244,4.730085
FAM187B,4292,4.726361
LOC100130331,7118,4.703398
ADAM19,205,4.676821
JOSD1,6287,4.670789
HIST1H2AE,5626,4.659666
ZNF526,15338,4.652632
EFHC1,3781,4.612168
TMEM163,13588,4.60585
ZNF518B,15333,4.581467
RELA,10989,4.574407
CTPS1,3000,4.567161
GHDC,4997,4.563513
MNX1-AS1,8059,4.560273
SLC7A1,12278,4.553971
FBLIM1,4443,4.540638
MYD88,8387,4.536362
PRIM2,10334,4.523333
ITPKC,6242,4.512613
POLR3D,10111,4.496731
OR13A1,9186,4.483391
PLP2,9977,4.465488
RAB3B,10727,4.464963
HR,5799,4.45531
KLHL18,6591,4.435159
TRPM4,14062,4.433463
LOC729737,7319,4.410258
PPIH,10186,4.404463
RIOX1,11136,4.396749
ZNF776,15525,4.396212
TTC25,14149,4.395138
SNX8,12524,4.393432
POMT1,10128,4.386824
SMYD5,12424,4.380218
ZNF783,15532,4.379298
POMGNT1,10124,4.372305
TRMT61A,14045,4.364951
SCARA3,11622,4.336708
MED9,7828,4.332491
KIF1B,6522,4.330976
TOGARAM1,13826,4.324886
PPP1R11,10213,4.315067
PATE3,9422,4.313276
KCNIP3,6371,4.312334
SPATA2L,12610,4.311133
IL10RA,6021,4.309775
DSTYK,3635,4.305464
PPP2R2A,10252,4.299003
TXN2,14245,4.282156
TSPAN11,14100,4.259418
C1orf229,1551,4.254263
YKT6,14870,4.243975
CARM1,1822,4.242988
LOC339059,7243,4.241871
LOC105372990,7209,4.241763
C2orf40,1590,4.24157
TOR1B,13855,4.238972
MAP3K11,7625,4.230774
ADGRG5,267,4.229977
LCE3E,6819,4.221503
RAB11B,10691,4.219745
PTPN12,10581,4.217428
ATP8B3,1070,4.215134
RNF19B,11217,4.194524
IL15RA,6029,4.184431
THRAP3,13402,4.167806
POGK,10067,4.154841
FANCF,4413,4.142382
NEUROD2,8706,4.138199
C18orf12,1496,4.121578
EIF5AL1,3873,4.11777
UBE2M,14315,4.114513
NOC2L,8845,4.111444
RITA1,11147,4.108363
SYPL2,13048,4.106815
SEMA6B,11774,4.104046
STRN4,12914,4.103032
LAMTOR1,6772,4.102715
ASXL2,947,4.100424
RPS6KA4,11406,4.097342
SPANXA2-OT1,12598,4.093342
UBAC2,14284,4.089318
DEDD2,3288,4.088498
SSSCA1-AS1,12789,4.084565
DDX28,3262,4.077626
NEURL1,8700,4.072812
LINC02004,7046,4.071989
ANGPTL2,531,4.070635
ZSCAN20,15604,4.069807
LINC01521,7023,4.062309
ALPPL2,481,4.057662
CYB561D2,3073,4.052728
RNF222,11231,4.050299
KLHL34,6604,4.04875
DMWD,3462,4.047159
AGBL4,332,4.037327
MYBPH,8378,4.031732
SMG5,12373,4.029234
INO80,6097,4.019835
ZKSCAN7,15075,4.017736
EIF4ENIF1,3865,4.0171
SLC25A44,12122,4.016282
MED12,7801,4.01564
FDX1L,4525,4.01346
PSME4,10520,4.011087
SLC35F6,12195,4.006742
TAPBP,13131,4.005562
DCTN2,3217,4.004478
TOR2A,13856,4.001772
ECEL1,3729,4.000701
MRPL9,8202,3.995617
UFD1,14382,3.994797
STARD13,12842,3.993134
